Designator,Mid X,Mid Y,Layer,Rotation
D1239,-40.6,-31.523324,top,120
D124,-42,-2.424871,top,120
D1240,-42,-31.523324,top,120
D1241,-43.4,-31.523324,top,120
D1242,-44.8,-31.523324,top,120
D1243,18.9,-32.73576,top,120
D1244,17.5,-32.73576,top,120
D1245,16.1,-32.73576,top,120
D1246,14.7,-32.73576,top,120
D1247,13.3,-32.73576,top,120
D1248,11.9,-32.73576,top,120
D1249,10.5,-32.73576,top,120
D125,-43.4,-2.424871,top,120
D1250,9.1,-32.73576,top,120
D1251,7.7,-32.73576,top,120
D1252,6.3,-32.73576,top,120
D1253,4.9,-32.73576,top,120
D1254,3.5,-32.73576,top,120
D1255,2.1,-32.73576,top,120
D1256,0.7,-32.73576,top,120
D1257,-0.7,-32.73576,top,120
D1258,-2.1,-32.73576,top,120
D1259,-3.5,-32.73576,top,120
D126,-44.8,-2.424871,top,120
D1260,-4.9,-32.73576,top,120
D1261,-6.3,-32.73576,top,120
D1262,-7.7,-32.73576,top,120
D1263,-9.1,-32.73576,top,120
D1264,-10.5,-32.73576,top,120
D1265,-11.9,-32.73576,top,120
D1266,-13.3,-32.73576,top,120
D1267,-14.7,-32.73576,top,120
D1268,-16.1,-32.73576,top,120
D1269,-17.5,-32.73576,top,120
D127,-46.2,-2.424871,top,120
D1270,-18.9,-32.73576,top,120
D1271,-20.3,-32.73576,top,120
D1272,-21.7,-32.73576,top,120
D1273,-23.1,-32.73576,top,120
D1274,-24.5,-32.73576,top,120
D1275,-25.9,-32.73576,top,120
D1276,-27.3,-32.73576,top,120
D1277,-28.7,-32.73576,top,120
D1278,-30.1,-32.73576,top,120
D1279,-31.5,-32.73576,top,120
D128,-47.6,-2.424871,top,120
D1280,-32.9,-32.73576,top,120
D1281,-34.3,-32.73576,top,120
D1282,-35.7,-32.73576,top,120
D1283,-37.1,-32.73576,top,120
D1284,-38.5,-32.73576,top,120
D1285,-39.9,-32.73576,top,120
D1286,-41.3,-32.73576,top,120
D1287,-42.7,-32.73576,top,120
D1288,-44.1,-32.73576,top,120
D1289,19.6,-33.948195,top,120
D129,-49,-2.424871,top,120
D1290,18.2,-33.948195,top,120
D1291,16.8,-33.948195,top,120
D1292,15.4,-33.948195,top,120
D1293,14,-33.948195,top,120
D1294,12.6,-33.948195,top,120
D1295,11.2,-33.948195,top,120
D1296,9.8,-33.948195,top,120
D1297,8.4,-33.948195,top,120
D1298,7,-33.948195,top,120
